unit_id,parent_unit_id,unit_name,strat_index,rank_id,start_age_ma,end_age_ma,start_age_err_ma,font_color,cmyk,cyan,magenta,yellow,black,rgb,red,green,blue,html_rgb_hash,standard_sort
136,65,Roadian,P2r,8,266.9,273.01,0.4,Black,0/50/45/0,0,50,45,0,251/128/105,251,128,105,#FB8069,94
65,35,Guadalupian,P2,6,259.51,273.01,0.21,Black,0/55/50/0,0,55,50,0,251/116/92,251,116,92,#FB745C,95
135,64,Kungurian,P1k,8,273.01,283.5,0.14,Black,10/45/40/0,10,45,40,0,227/135/118,227,135,118,#E38776,96
134,64,Artinskian,P1ar,8,283.5,290.1,0.6,Black,10/50/45/0,10,50,45,0,227/123/104,227,123,104,#E37B68,97
133,64,Sakmarian,P1s,8,290.1,293.52,0.26,Black,10/55/50/0,10,55,50,0,227/111/92,227,111,92,#E36F5C,98
132,64,Asselian,P1a,8,293.52,298.9,0.17,Black,10/60/55/0,10,60,55,0,227/99/80,227,99,80,#E36350,99
64,35,Cisuralian,P1,6,273.01,298.9,0.14,Black,5/65/60/0,5,65,60,0,239/88/69,239,88,69,#EF5845,100
35,13,Permian,P,5,251.902,298.9,0.024,Black,5/75/75/0,5,75,75,0,240/64/40,240,64,40,#F04028,101
131,63,Gzhelian,C2g,8,298.9,303.7,0.15,Black,20/10/15/0,20,10,15,0,204/212/199,204,212,199,#CCD4C7,102
130,63,Kasimovian,C2k,8,303.7,307,0.1,Black,25/10/15/0,25,10,15,0,191/208/197,191,208,197,#BFD0C5,103
63,43,Upper Pennsylvanian,C2-3,6,298.9,307,0.15,Black,25/10/20/0,25,10,20,0,191/208/186,191,208,186,#BFD0BA,104
129,62,Moscovian,C2m,8,307,315.2,0.1,Black,30/10/20/0,30,10,20,0,179/203/185,179,203,185,#B3CBB9,105
62,43,Middle Pennsylvanian,C2-2,6,307,315.2,0.1,Black,30/10/20/0,30,10,20,0,166/199/183,166,199,183,#A6C7B7,106
128,61,Bashkirian,C2b,8,315.2,323.2,0.2,Black,40/10/20/0,40,10,20,0,153/194/181,153,194,181,#99C2B5,107
61,43,Lower Pennsylvanian,C2-1,6,315.2,323.2,0.2,Black,45/10/20/0,45,10,20,0,140/190/180,140,190,180,#8CBEB4,108
43,34,Pennsylvanian,C2,3,298.9,323.2,0.15,Black,50/10/20/0,50,10,20,0,126/188/198,126,188,198,#7EBCC6,109
127,60,Serpukhovian,C1s,8,323.2,330.9,0.4,Black,25/15/55/0,25,15,55,0,191/194/107,191,194,107,#BFC26B,110
60,42,Upper Mississippian,C1-3,6,323.2,330.9,0.4,Black,25/15/55/0,25,15,55,0,179/190/108,179,190,108,#B3BE6C,111
126,59,Visean,C1v,8,330.9,346.7,0.2,Black,35/15/55/0,35,15,55,0,166/185/108,166,185,108,#A6B96C,112
59,42,Middle Mississippian,C1-2,6,330.9,346.7,0.2,Black,35/15/55/0,35,15,55,0,153/180/108,153,180,108,#99B46C,113
125,58,Tournaisian,C1t,8,346.7,358.9,0.4,Black,45/15/55/0,45,15,55,0,140/176/108,140,176,108,#8CB06C,114
58,42,Lower Mississippian,C1-1,6,346.7,358.9,0.4,Black,45/15/55/0,45,15,55,0,128/171/108,128,171,108,#80AB6C,115
42,34,Mississippian,C1,3,323.2,358.9,0.4,White,60/25/55/0,60,25,55,0,103/143/102,103,143,102,#678F66,116
